program_id,title,program_description,cleaned_description
50580,La traque,"Le 26 juin 2003, Michel Fourniret est arrêté pour tentative d’enlèvement sur mineure. Il ne risque, au mieux, que quelques mois de prison. Pourtant les policiers sont convaincus d'avoir affaire à un tueur en série. Mais ils n'ont aucune preuve... Le compte à rebours commence et s’engage alors une véritable traque psychologique","le 26 juin 2003, michel fourniret est arrêté pour tentative d’enlèvement sur mineure. il ne risque, au mieux, que quelques mois de prison. pourtant les policiers sont convaincus d'avoir affaire à un tueur en série. mais ils n'ont aucune preuve... le compte à rebours commence et s’engage alors une véritable traque psychologique"
51526,L'école de la vie,"Vincent enseigne l’Histoire-géo mais l’arrivée de son premier enfant le pousse à revoir ses priorités. Avec sa compagne, ils projettent de déménager en bord de mer pour vivre leur nouvelle vie. Mais rien ne va se passer comme prévu...
Malgré le drame qu'il traverse, Vincent poursuit son métier sans rien laisser paraître et fait tout pour ne pas sombrer. Ses élèves restent sa priorité et sa nouvelle vie le pousse à s’intéresser davantage à leur vie privée. Il découvre alors des cas difficiles","vincent enseigne l’histoire-géo mais l’arrivée de son premier enfant le pousse à revoir ses priorités. avec sa compagne, ils projettent de déménager en bord de mer pour vivre leur nouvelle vie. mais rien ne va se passer comme prévu...
malgré le drame qu'il traverse, vincent poursuit son métier sans rien laisser paraître et fait tout pour ne pas sombrer. ses élèves restent sa priorité et sa nouvelle vie le pousse à s’intéresser davantage à leur vie privée. il découvre alors des cas difficiles"
46073,Grey's Anatomy,"Chronique du Seattle Grace Hospital. Le titre fait référence à Meredith Grey, interne en médecine, qui a un lien plus ou moins direct avec tous les personnages principaux.","chronique du seattle grace hospital. le titre fait référence à meredith grey, interne en médecine, qui a un lien plus ou moins direct avec tous les personnages principaux."
46466,La stagiaire,"Constance Meyer (Michèle Bernier) est une stagiaire atypique. À cinquante ans, cette mère de famille et ex-détenue suite à une erreur judiciaire, est étudiante à l’École Nationale de la Magistrature","constance meyer (michèle bernier) est une stagiaire atypique. à cinquante ans, cette mère de famille et ex-détenue suite à une erreur judiciaire, est étudiante à l’école nationale de la magistrature"
50775,Familles nombreuses : la vie en XXL,"Au départ ils avaient 1 enfant, puis un 2ème, un 3ème et la famille n’a cessé de s’agrandir … Jusqu’à 9 enfants aujourd’hui pour certaines familles ! Pendant plusieurs mois et aux 4 coins de la France, partez à la découverte de la vie quotidienne hors du commun de 7 familles nombreuses où les joies, les peines, les courses, les cris et surtout l’amour… sont XXL.","au départ ils avaient 1 enfant, puis un 2ème, un 3ème et la famille n’a cessé de s’agrandir … jusqu’à 9 enfants aujourd’hui pour certaines familles ! pendant plusieurs mois et aux 4 coins de la france, partez à la découverte de la vie quotidienne hors du commun de 7 familles nombreuses où les joies, les peines, les courses, les cris et surtout l’amour… sont xxl."
49591,Mamans et célèbres,"Elles sont 10, elles sont célèbres, elles sont stars des réseaux sociaux. On les a connues candidates de télé-réalité, elles sont aujourd'hui devenues influenceuses mais avant tout mamans. Et pour la première fois, elles nous ouvrent les portes de leur quotidien pour découvrir les coulisses de leur vie de stars mais aussi leur vie de mamans !","elles sont 10, elles sont célèbres, elles sont stars des réseaux sociaux. on les a connues candidates de télé-réalité, elles sont aujourd'hui devenues influenceuses mais avant tout mamans. et pour la première fois, elles nous ouvrent les portes de leur quotidien pour découvrir les coulisses de leur vie de stars mais aussi leur vie de mamans !"
46814,All American,"Spencer James, un jeune athlète issu des quartiers difficiles de la banlieue de Los Angeles, est recruté par le prestigieux Beverly Hills High, afin qu'il rejoigne l'équipe de football américain du lycée. Tout en tentant de s'adapter à ce nouvel environnement très aisé, au sein duquel il n'est pas forcément le bienvenu, Spencer débute alors une nouvelle vie, qui le mènera petit à petit vers son rêve : devenir footballeur professionnel","spencer james, un jeune athlète issu des quartiers difficiles de la banlieue de los angeles, est recruté par le prestigieux beverly hills high, afin qu'il rejoigne l'équipe de football américain du lycée. tout en tentant de s'adapter à ce nouvel environnement très aisé, au sein duquel il n'est pas forcément le bienvenu, spencer débute alors une nouvelle vie, qui le mènera petit à petit vers son rêve : devenir footballeur professionnel"
50877,The Grave,"Suite à un tremblement de terre, trois squelettes humains sont découverts au fond d'une fosse. L’identité des victimes est troublante : elles sont encore en vie et semblent ne rien comprendre elles non plus à cette histoire… D’autres éléments troublants ne font qu’épaissir le mystère. Dédoublement de personnalités ? Trou dans l’espace-temps ? Ou tout simplement tour de passe-passe particulièrement élaboré ? Et si le gouvernement lui-même était mêlé à cette affaire paranormale","suite à un tremblement de terre, trois squelettes humains sont découverts au fond d'une fosse. l’identité des victimes est troublante : elles sont encore en vie et semblent ne rien comprendre elles non plus à cette histoire… d’autres éléments troublants ne font qu’épaissir le mystère. dédoublement de personnalités ? trou dans l’espace-temps ? ou tout simplement tour de passe-passe particulièrement élaboré ? et si le gouvernement lui-même était mêlé à cette affaire paranormale"
47880,Desperate Housewives,"Nommé trente fois aux Emmy Awards, dont onze fois pour la première saison en 2005, ""Desperate Housewives"" est l'une des séries phares de la deuxième partie des années 2000. Quatre voisines, résidant dans une rue typique de la banlieue américaine, Wisteria Lane, traversent, chacune à sa façon, les heurs et malheurs de la vie de famille, alors que chaque nouvelle saison invite dans le quartier des personnages douteux et de douloureuses énigmes criminelles .","nommé trente fois aux emmy awards, dont onze fois pour la première saison en 2005, ""desperate housewives"" est l'une des séries phares de la deuxième partie des années 2000. quatre voisines, résidant dans une rue typique de la banlieue américaine, wisteria lane, traversent, chacune à sa façon, les heurs et malheurs de la vie de famille, alors que chaque nouvelle saison invite dans le quartier des personnages douteux et de douloureuses énigmes criminelles ."
50997,Les rivières pourpres,"Le commissaire Pierre Niémans et le lieutenant Camille Delaunay, plus soudés que jamais après une série d’enquêtes sombres, complexes et nerveuses, sont une nouvelle fois appelés aux quatre coins de la France. Explosif et inséparable, ce tandem de choc plongera dans des univers inédits, qui réveilleront chez eux de douloureux secrets, qu’ils pensaient enterrés à jamais. Des corps cousus entre eux retrouvés au sein d’un festival néopaïen dans les montagnes, ...","le commissaire pierre niémans et le lieutenant camille delaunay, plus soudés que jamais après une série d’enquêtes sombres, complexes et nerveuses, sont une nouvelle fois appelés aux quatre coins de la france. explosif et inséparable, ce tandem de choc plongera dans des univers inédits, qui réveilleront chez eux de douloureux secrets, qu’ils pensaient enterrés à jamais. des corps cousus entre eux retrouvés au sein d’un festival néopaïen dans les montagnes, ..."
47527,Ils étaient dix,"Dix personnes, cinq femmes et cinq hommes, sont invitées sur une île déserte qui abrite un hôtel de luxe. Ils vont très vite réaliser qu’ils sont coupés du reste du monde. Pourquoi ont-ils été attirés dans ce piège ? Chacun a commis un meurtre. Mais aujourd’hui, sous le soleil brûlant de l’île, ils vont devoir payer pour leurs crimes.","dix personnes, cinq femmes et cinq hommes, sont invitées sur une île déserte qui abrite un hôtel de luxe. ils vont très vite réaliser qu’ils sont coupés du reste du monde. pourquoi ont-ils été attirés dans ce piège ? chacun a commis un meurtre. mais aujourd’hui, sous le soleil brûlant de l’île, ils vont devoir payer pour leurs crimes."
50941,Un homme d'honneur,"2 nouveaux épisodes tous les lundis.

Richard Altman (Kad Merad) est un juge droit et respecté. Il voit sa vie basculer lorsque son fils renverse un motard et le laisse pour mort. Dans un premier temps, Richard Altman pousse son fils à se dénoncer. Mais, quand il se rend compte que la victime est le fils d'un puissant mafieux. Le juge va renier tous ses idéaux et entamer une réelle descente aux enfers pour protéger son fils...","2 nouveaux épisodes tous les lundis.

richard altman (kad merad) est un juge droit et respecté. il voit sa vie basculer lorsque son fils renverse un motard et le laisse pour mort. dans un premier temps, richard altman pousse son fils à se dénoncer. mais, quand il se rend compte que la victime est le fils d'un puissant mafieux. le juge va renier tous ses idéaux et entamer une réelle descente aux enfers pour protéger son fils..."
47059,Un si grand soleil,"Claire revient à Montpellier après dix-sept ans d'absence afin de faire découvrir à Théo, son fils adolescent, sa ville natale. Quelques heures plus tard, elle est en garde à vue, accusée du meurtre d'un ami d'enfance. Pour se disculper, Claire n'aura d'autre choix que de percer tous les secrets du passé, notamment celui de la mort de sa sœur Angèle..","claire revient à montpellier après dix-sept ans d'absence afin de faire découvrir à théo, son fils adolescent, sa ville natale. quelques heures plus tard, elle est en garde à vue, accusée du meurtre d'un ami d'enfance. pour se disculper, claire n'aura d'autre choix que de percer tous les secrets du passé, notamment celui de la mort de sa sœur angèle.."
