program_id,title,tag_genre,tag_sous_genre,mean_age,count_episodes,mean_episode_duration,count_profile_adult,count_profile_kid,count_profile_home,count_profile_f,count_profile_m,count_profile_like,count_profile_not_like,count_profile_view,program_seconds_duration,total_seconds_viewed,seconds_viewed_liked,seconds_viewed_not_like,program_description,ratio_liked
47059,Un si grand soleil,series,feuilleton,48.0,65.0,1299.98,10019,0,399,6540,2567,7161,3303,10464,84499.0,238148363.0,230780122.0,7368241.0,"Claire revient à Montpellier après dix-sept ans d'absence afin de faire découvrir à Théo, son fils adolescent, sa ville natale. Quelques heures plus tard, elle est en garde à vue, accusée du meurtre d'un ami d'enfance. Pour se disculper, Claire n'aura d'autre choix que de percer tous les secrets du passé, notamment celui de la mort de sa sœur Angèle..",68.43
51286,Meurtres à la Pointe du Raz,telefilms,policier,49.0,1.0,5583.0,8039,2,77,5187,2069,6815,1319,8134,5583.0,45701262.0,43398869.0,2302393.0,"Au pied de la Pointe du Raz, le corps d’une vielle femme est retrouvé échoué sur la plage. Ce qui ressemble à une noyade accidentelle va très vite s’avérer être un meurtre. Une affaire criminelle d’autant plus étrange qu’elle réveille une vieille légende Bretonne encore vivace dans la région, celle de l’Ankou. Cet ouvrier de la mort, qui à bord de sa charrette, recueille les âmes des défunts pour les faire passer sur l’autre rive",83.78
46812,El Embarcadero,series,"drame,thriller-suspense",40.0,16.0,2845.63,11530,0,344,7826,2783,6715,5176,11891,45530.0,279529326.0,259510161.0,20019165.0,"Ceci est l'histoire d’Alexandra, une architecte renommée qui, à la suite du suicide de son mari Oscar, se retrouve dévastée par la découverte de la double vie que celui-ci menait avec une autre femme, Veronica, et leur enfant. Pour ne pas sombrer et tout connaître de cette liaison cachée, Alexandra décide de se rapprocher de Veronica, de s’en faire une amie...",56.47
48966,Manifest,series,"fantastique,thriller-suspense",37.0,35.0,2455.8,11238,0,392,7008,3315,6016,5645,11661,85953.0,303647353.0,283151239.0,20496114.0,"Un avion disparaît des radars… et atterrit cinq ans et demi plus tard ! Les passagers, sains et saufs, n’ont pas vieilli mais ils se retrouvent confrontés à un problème de taille. Tout le monde les pensait morts et pendant leur absence, la vie a suivi son cours. Ils doivent désormais s’adapter à leur nouvelle existence",51.59
46900,Tandem,series,"comedie-dramatique,policier",45.0,60.0,2980.95,9387,0,159,6351,2092,5865,3696,9561,178857.0,317751718.0,299671000.0,18080718.0,"Le commandant Léa Soler est mutée dans la brigade du capitaine Paul Marchal, son ex-mari et vont tant bien que mal devoir faire équipe. Ils seront aussi obligés de se croiser en dehors du travail car le tandem a deux adolescents, Alice et Thomas, à gérer",61.34
50638,Hawaii 5-0,series,"action,policier",32.0,22.0,2451.73,8327,0,316,4566,3119,5722,2943,8665,53938.0,234694123.0,223784597.0,10909526.0,"Le commandant Steve McGarrett se rend à Oahu pour enquêter sur l'assassinat de son père. Une fois sur place, le gouverneur le persuade de rester et rejoindre l'unité des forces spéciales, qui combat le crime à Hawaii",66.04
47726,Ma famille d'abord,series,comedie,27.0,123.0,1237.64,8709,2,404,5431,2594,5689,3463,9152,152230.0,365542289.0,359118680.0,6423609.0,"Michael Kyle est un mari aimant et un père de famille comblé. Mais il n'est pas toujours facile d'élever trois enfants. Entre un fils passionné de musique rap, une fille adolescente qui lui cause bien des soucis et la benjamine qui veut toujours avoir le dernier mot, on ne s'ennuie pas avec la famille Kyle.",62.16
49611,Les Mystères de l'Amour,series,"romance,feuilleton",39.0,26.0,3114.46,10038,0,395,7663,1806,5644,4835,10479,80976.0,239301372.0,216142325.0,23159047.0,"Des années après leurs premières péripéties sentimentales à la fac et leurs aventures dans les Antilles, la bande d'Hélène et les garçons revient à Paris. Nicolas est photographe, il est en couple avec Ingrid qui gère un bar, José et Bénédicte tiennent un restaurant, Johanna est partie au Texas et Christian persévère dans la musique. Quant à Hélène, seul Nicolas sait ce qu'elle est devenue…",53.86
34205,Les Marseillais à Dubaï,divertissement,serie-realite,26.0,52.0,2585.81,21657,0,1362,14730,5218,5595,17531,23126,134462.0,231255563.0,175126288.0,56129275.0,"Pour cette nouvelle saison, la grande famille des Marseillais se retrouve à Dubaï, plus en forme que jamais ! Véritable mirage au cœur du désert, avec ses plages de rêve et ses paysages des mille et une nuits, Dubaï la magnifique n'a pas fini de les surprendre !
Et si, ici, tout est possible, plus que jamais Julien, Manon, Jessica, Thibault, Carla, Kevin, Paga, Greg, Maeva, Benji, Océane et Victoria vont devoir redoubler d'efforts pour affronter les épreuves qui les attendent.",24.19
49723,A Confession,series,"fait-divers-or-histoire-vraie,policier",51.0,6.0,2690.67,8525,1,153,5384,2286,5412,3279,8691,16144.0,106968889.0,94748544.0,12220345.0,"Le policier Steve Fulcher, déterminé à retrouver une jeune femme disparue, enfreint délibérément la procédure et le protocole de la police pour coincer l’assassin.
Cette décision lui coûtera sa carrière et sa réputation. (basée sur une histoire vraie",62.27
44712,Léo Mattéï - Brigade des mineurs,series,policier,38.0,23.0,3140.13,12578,1,381,8935,2643,5125,7867,12992,72223.0,193853288.0,150013174.0,43840114.0,"Léo Matteï s’installe à Marseille dans l’attente du procès de David, l’homme qui a séquestré sa fille Eloise pendant 8 ans. Père et fille tentent de reprendre le cours d’une vie normale même si l’ombre de David plane sur eux. Après 8 ans rien n’est plus comme avant… la petite fille est devenue une adolescente rebelle aux repères totalement faussés. Et Mattei doit réapprendre son rôle de père. Mais comment se reconstruire après toutes ces années de calvaire ? Éloise est hantée jour et nuit par D…",39.45
44638,La Villa des Cœurs Brisés,divertissement,telerealite,29.0,462.0,2483.38,13040,0,719,9506,2567,4832,8983,13815,1147321.0,269679170.0,240495856.0,29183314.0,"Depuis 5 saisons, des cœurs brisés s’envolent aux quatre coins du monde : Mexique, République Dominicaine ou Saint-Martin. Accompagnés par Lucie Mariotti, la célèbre love coach, des anciens candidats de télé-réalité, déçus en amour vont tenter de résoudre leurs problématiques amoureuses, plus complexe les unes que les autres. Chaque semaine, ils suivent les coachings de Lucie et rencontrent des prétendants venus spécialement pour eux.",34.98
51012,Cellule de crise,series,thriller-suspense,53.0,6.0,3051.67,10308,1,229,5617,3653,4574,5984,10558,18310.0,106057355.0,86801840.0,19255515.0,"L’élection comme présidente de Suzanne Fontana au sein d’une des plus grandes et influentes agences internationales coïncide avec l’enlèvement, au Yémen, d’un jeune délégué et d’une dizaine de collaborateurs de l’agence. CELLULE DE CRISE raconte dans un monde de communication et de faux-semblants, comment, pour ramener ses otages vivants, une idéaliste de l’humanitaire va devoir se salir les mains, nouer des alliances contre nature et remettre en cause tout ce en quoi elle croyait jusqu’alors",43.32
51082,Cry Wolf,series,drame,44.0,8.0,3054.13,6807,2,109,4898,1342,4573,2357,6930,24433.0,125682582.0,116066399.0,9616183.0,"Holly, 14 ans, a écrit une rédaction où elle accuse son beau-père de maltraitance. Le travailleur social Lars Madsen reçoit un rapport de l’école et décide d’agir rapidement. En l’espace de quelques heures, il parvient à placer d’urgence la jeune fille et son petit frère en famille d’accueil. Les parents d’Holly nient tout en bloc et sont consternés par la façon dont les services sociaux traitent l’affaire. Lars réussira-t-il à démêler le vrai du faux et mettre au jour leur secret de famille",65.99
50962,Sublimes créatures,films,"fantastique,romance",35.0,1.0,6950.0,7245,1,185,5416,1350,4441,3008,7449,6950.0,39269065.0,32902487.0,6366578.0,"Ethan, 17 ans, s'ennuie dans sa morne bourgade de Caroline du Sud, où rien ne change jamais. Aussi l'arrivée d'une nouvelle élève au lycée, la singulière et inrovertie Lena, suscite-t-elle d'emblée la curiosité et la suspicion. Contre l'avis de tous, Ethan se rapproche de l'adolescente mystérieuse et découvre bientôt que celle-ci possède des pouvoirs surnaturels",59.62
10721,Top Chef,divertissement,"cuisine,jeu",32.0,57.0,6966.07,14989,1,738,9016,4528,4439,11360,15799,397066.0,369877182.0,262436656.0,107440526.0,"Pour cette nouvelle saison, les cuisines du concours Top Chef vont être le théâtre d'épreuves nouvelles et de challenges inédits. Notre prestigieux jury, composé d'Hélène Darroze, Philippe Etchebest, Paul Pairet et Michel Sarran, a invité des chefs ultra créatifs à participer, parfois pour la première fois, à Top Chef.",28.1
43415,Ici tout commence,series,feuilleton,32.0,130.0,1677.68,12180,0,595,8404,2828,4241,8593,12834,218098.0,194648188.0,176410008.0,18238180.0,"Le nouveau feuilleton quotidien arrive à l'automne sur TF1. Tourné en Camargue, ""Ici tout commence"" est l'histoire d’une dynastie de grands chefs. Les téléspectateurs plongeront dans la vie d’une école qui formera les futurs grands noms de la gastronomie",33.05
49573,S.W.A.T,series,"action,policier",32.0,66.0,2452.89,6821,1,253,3819,2488,4193,2911,7104,161891.0,301571507.0,292613456.0,8958051.0,"LA SAISON 3 EST MAINTENANT DISPONIBLE. A Los Angeles, le sergent Harrelson, que tout le monde appelle Hondo, prend la tête d'une unité d'assaut qui intervient en première ligne contre la criminalité.",59.02
51159,Polisse,films,"drame,policier",36.0,1.0,7415.0,6166,0,144,3952,1734,4089,2236,6325,7415.0,36376875.0,31630157.0,4746718.0,"Les agents de la Brigade de protection des mineurs de Paris sont chargés de diverses affaires concernant des pédophiles, des pickpockets mineurs, des parents maltraitants ou des fugues d'adolescents. Un quotidien pas toujours facile à vivre pour ces hommes et ces femmes finalement comme tous les autres..",64.65
50346,Je te promets,series,comedie-dramatique,36.0,12.0,3000.0,13632,0,404,9471,3098,3928,10140,14068,36000.0,161950182.0,110290670.0,51659512.0,"Paul, et sa femme Florence attendent avec impatience la naissance de leurs triplés. De leur côté, Mathis, un trader comblé vient de retrouver son père biologique mais hésite à le rencontrer ; Maud, une jeune femme en surpoids, n’arrive pas à maigrir et cherche un sens à sa vie et Michaël, footballeur à l'OM, voit sa carrière stoppée après un incident malheureux. Alors que Paul, Mathis, Maud et Michaël fêtent leurs 37 ans, ils font face à des choix importants, qui vont bouleverser leurs vies..",27.92
46021,Downton Abbey,series,"classique,histoire",46.0,52.0,3410.92,5810,1,219,4033,1193,3835,2202,6037,177368.0,463022516.0,453899003.0,9123513.0,"Les aventures d’une famille d’aristocrates britanniques et de leurs domestiques au sein d’une immense demeure du Yorkshire, à l’aube de la Première Guerre mondiale, dans une société en évolution",63.52
46718,Cassandre,series,policier,46.0,20.0,5465.4,8710,1,141,5851,1985,3803,5061,8864,109308.0,270640546.0,213168163.0,57472383.0,"Une grande femme flic de Paris - et citadine invétérée - est amenée à sacrifier sa carrière pour son fils et prendre de nouvelles fonctions dans un commissariat de province près de lui où rien n’est aussi efficace ni aussi rapide qu’au 36 quai des Orfèvres. Parisienne, elle devra s’adapter à une équipe qui ne l’attend pas, à un monde où les voisins se connaissent sur plusieurs générations et où les nuits à la campagne sont terriblement silencieuses",42.9
46041,Grey's Anatomy : Station 19,series,"action,comedie-dramatique",33.0,43.0,2461.44,7097,0,183,5145,1385,3734,3566,7300,105842.0,231400175.0,221897049.0,9503126.0,"LA SAISON 3 EST MAINTENANT DISPONIBLE. Les aventures d'un groupe de pompiers héroïques de Seattle risquant tous les jours leurs vies, tout en gérant les complications de la sphère privée",51.15
50870,La faute à Rousseau,series,comedie-dramatique,40.0,8.0,3057.63,7827,0,216,5006,2042,3615,4462,8077,24461.0,110823729.0,86021488.0,24802241.0,"Rousseau prof de philo contestataire, rebelle, Irrévérencieux… Va s’éclater à partager sa passion pour la philosophie, et donner des armes des élèves en pleine quête de repères. Mais les cordonniers sont toujours les plus mal chaussés, et Rousseau va se retrouver totalement démuni face à son élève préféré… son fils !",44.76
48010,Un village français,series,"drame,histoire",43.0,72.0,3069.58,5197,0,186,3020,1751,3610,1789,5399,221010.0,460316276.0,452827601.0,7488675.0,"Chronique de l'Occupation allemande dans une petite sous-préfecture du Jura. En juin 1940, Villeneuve est bouleversée par l'arrivée de l'armée allemande. L'Occupation de la France vient de commencer, elle va durer quatre ans et faire régner la peur, la faim et le danger. Chronologie de destins ordinaires pris dans les eaux troubles de l'Histoire.",66.86
43461,Clem,series,feuilleton,30.0,11.0,3144.73,16437,0,798,12664,2658,3560,13718,17278,34592.0,130813143.0,79399570.0,51413573.0,"Six années se sont écoulées depuis l'accident de voiture de Clem. La jeune femme vient de sortir du coma et doit réapprendre à vivre. Mais autour d'elle tout a changé, ses enfants ont grandi, son amant a refait sa vie et sa vie de famille a totalement changé. Retrouvez tous les replay et vidéos de Clem, les interviews exclusives des acteurs, les bonus vidéos de toutes les saisons, les news et photos de Clem :  Lucie Lucas (Clem),  Joséphine Berry (Salomé),  Elodie Fontan (Alyzée), Thomas Chaumel",20.6
